Id,src,suser,target,msg,TrendMicroDsTenant,TrendMicroDsTenantId
0,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
1,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
2,172.20.0.10,System,192.168.90.12,Description Omitted,Primary,0
3,172.20.0.10,MasterAdmin,MasterAdmin,User signed in from 172.16.3.5,Primary,0
4,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
5,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
6,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
7,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
8,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
9,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
10,172.20.0.10,System,192.168.90.11,Smart Protection Server Connected for Smart Scan,Primary,0
11,172.20.0.10,MasterAdmin,MasterAdmin,User signed in from 172.16.3.5,Primary,0
12,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
13,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
14,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
15,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
16,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
17,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
18,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
19,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
20,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
21,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
22,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
23,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
24,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
25,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
26,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
27,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
28,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
29,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
30,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
31,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
32,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
33,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
34,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
35,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
36,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
37,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
38,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
39,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
40,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
41,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
42,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
43,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
44,172.20.0.10,MasterAdmin,New Syslog Configuration,Description Omitted,Primary,0
45,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
46,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
47,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
48,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
49,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
50,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
51,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
52,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
53,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
54,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
55,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
56,172.20.0.10,System,MasterAdmin,Description Omitted,Primary,0
57,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
58,172.20.0.10,System,MasterAdmin,IP: 172.16.3.5,Primary,0
